Team,Player
UserTeam1,Lauren Whittaker
UserTeam1,Eleonora Villa
UserTeam1,Ava Schmidt
UserTeam1,Daria Nestorov
UserTeam1,Meghan Fiso
UserTeam1,Seleh Harmon
UserTeam1,Delainey Miller
UserTeam1,Ysabella Von Seipler
UserTeam1,Carly Heidger
UserTeam1,Tiffany Barbosa
UserTeam2,Sophie Glancey
UserTeam2,Maia Jones
UserTeam2,Ellison Guiney
UserTeam2,Winner Bartholomew
UserTeam2,Lainey Spear
UserTeam2,Lina Falk
UserTeam2,Meghan McIntyre
UserTeam2,Zeryhia Aokuso
UserTeam2,Andjela Bigovic
UserTeam2,Néné Sow
UserTeam3,Jess Lawson
UserTeam3,Kennedie Shuler
UserTeam3,Edie Clarke
UserTeam3,Ella Brubaker
UserTeam3,Kylee Fox
UserTeam3,Florence Dallow
UserTeam3,Ines Bettencourt
UserTeam3,Tyler Gildersleeve-Stiles
UserTeam3,Jada Hunter
UserTeam3,Taylor Smith
UserTeam4,Shorna Preston
UserTeam4,Ashley Hawkins
UserTeam4,Rhyan Mogel
UserTeam4,Sydney Ward
UserTeam4,Aina Cargol
UserTeam4,Andjela Matic
UserTeam4,Aniya Hooker
UserTeam4,Mauriana Hashemian-Orr
UserTeam4,Lizzy Williamson
UserTeam4,Olivia Owens
RR,Dyani Ananiev
RR,Maya Hernandez
RR,Tiara Bolden
RR,Jenna Villa
RR,Tamia Stricklin
RR,Malia Ruud
RR,Ayla Williams
RR,Charlotte Abraham
RR,Paula Reus Piza
RR,Mara Neira
UserTeam6,Candy Edokpaigbe
UserTeam6,Allie Turner
UserTeam6,Hallie Rhodes
UserTeam6,Julia Dalan
UserTeam6,Kylie Ray
UserTeam6,Lucija Milkovic
UserTeam6,Aubrey Herrin
UserTeam6,Addi Wedin
UserTeam6,Nyah Lowery
UserTeam6,Taija Sta. Maria
